source,title,link,published,summary,fetched_at
NYT > World News,Why Is the U.S. Threatening Venezuela?,https://www.nytimes.com/video/world/americas/100000010549651/trump-venezuela-pressure-campaign.html,"Thu, 27 Nov 2025 18:20:13 +0000","Venezuela doesn’t play a large role in the drug trade to the United States, so what is motivating the massive military buildup? Julian E. Barnes, who reports on intelligence and international security, discusses the issues with our senior writer Katrin Bennhold.",2025-11-29T13:55:17.122231
NYT > World News,What to Know About the Coup in Guinea-Bissau,https://www.nytimes.com/2025/11/27/world/africa/guinea-bissau-coup.html,"Thu, 27 Nov 2025 21:50:33 +0000",The opposition has accused the president of putting a general in charge of the government so that he could stay in power and lead by proxy.,2025-11-29T13:55:17.122231
NYT > World News,Putin Defends Witkoff Against Accusations of Pro-Russia Bias,https://www.nytimes.com/2025/11/27/world/europe/putin-witkoff-trump.html,"Thu, 27 Nov 2025 16:54:58 +0000",The Russian leader called the U.S. special envoy “an intelligent man” who is properly representing his country in peace negotiations.,2025-11-29T13:55:17.122231
NYT > World News,Russia Labels Navalny’s Anti-Corruption Group as Terrorist Organization,https://www.nytimes.com/2025/11/27/world/europe/russia-navalny-terrorist.html,"Thu, 27 Nov 2025 15:49:33 +0000",A legal assault against the opposition leader’s movement has deepened since his death in prison last year.,2025-11-29T13:55:17.122231
NYT > World News,Rocket Attack on Iraqi Gas Field Cuts Power to Most of Kurdistan,https://www.nytimes.com/2025/11/27/world/middleeast/rocket-attack-iraq-power-kurdistan.html,"Thu, 27 Nov 2025 16:36:26 +0000","The strike is the latest in a string of attacks on energy infrastructure in Iraq’s northern Kurdish region, which some regional authorities have privately blamed on Iran-affiliated militias.",2025-11-29T13:55:17.122231
NYT > World News,France Creates Voluntary Military Service as Europe Faces Russian Threat,https://www.nytimes.com/2025/11/27/world/europe/france-military-service.html,"Thu, 27 Nov 2025 17:41:35 +0000","The effort, aimed at young people, came after an army chief angered many by saying the country must accept the possible loss of “our children” in a future war.",2025-11-29T13:55:17.122231
NYT > World News,"The British Public Thinks Immigration Is Up. It’s Actually Down, Sharply.",https://www.nytimes.com/2025/11/27/world/europe/uk-immigration-statistics.html,"Thu, 27 Nov 2025 14:16:34 +0000","Net migration to Britain has fallen by almost 80 percent from its 2023 peak, according to data released on Thursday.",2025-11-29T13:55:17.122231
NYT > World News,Images From the Deadly High-Rise Fire in Hong Kong,https://www.nytimes.com/2025/11/27/world/asia/hongkong-fire-photos.html,"Fri, 28 Nov 2025 15:06:24 +0000","The blaze tore through an apartment complex, killing scores. Dozens more are believed to be missing in what remains of the buildings.",2025-11-29T13:55:17.122231
NYT > World News,Pope Leo Visits Turkey on His First Trip as Pontiff,https://www.nytimes.com/2025/11/27/world/europe/pope-leo-trip-pictures.html,"Fri, 28 Nov 2025 15:00:04 +0000","The pope started his six-day trip, which will also include a visit to Lebanon.",2025-11-29T13:55:17.122231
NYT > World News,Hong Kongers Volunteer to Help Fire Victims,https://www.nytimes.com/2025/11/27/world/asia/hong-kong-fire-volunteers-aid-help-donations.html,"Thu, 27 Nov 2025 15:09:00 +0000","Residents from across the city have quickly organized to donate food, water, clothing and other supplies in Tai Po for the many displaced people.",2025-11-29T13:55:17.122231
NYT > World News,Hong Kong’s Worst Fire in Decades Fuels Scrutiny of Safety Lapses,https://www.nytimes.com/2025/11/27/world/asia/hong-kong-fire-tai-po-apartment-buildings.html,"Fri, 28 Nov 2025 01:36:59 +0000","The authorities said flammable netting and foam boards may have fueled the city’s deadliest blaze in nearly 80 years, killing more than 90 and prompting arrests.",2025-11-29T13:55:17.122231
